day,nominal,S_2_RCP_8.5,S5_4.0
471,5.010608314,5.010608314,5.010608314
472,5.297000717,5.297000717,5.297000717
473,5.505139255,5.505139255,5.505139255
474,5.314851787,5.314851787,5.314851787
475,4.43991201,4.43991201,4.43991201
476,5.265342074,5.265342074,5.265342074
477,5.006862033,5.006862033,5.006862033
478,4.094492419,4.094492419,4.094492419
479,4.558975418,4.558975418,4.558975418
480,3.198152347,3.198152347,3.198152347
481,3.126398302,3.126398302,3.126398302
482,4.388067494,4.388067494,4.388067494
483,5.054221384,5.054221384,5.054221384
484,5.777060882,5.777060882,5.777060882
485,6.547143944,6.547143944,6.547143944
486,8.131082773,8.131082773,8.131082773
487,8.246323859,8.246323859,8.246323859
488,6.140289124,6.140289124,6.140289124
489,5.895722909,5.895722909,5.895722909
490,8.69868166,8.69868166,8.69868166
491,10.34143193,10.34143193,10.34143193
492,9.411169103,9.411169103,9.411169103
493,6.285724989,6.285724989,6.285724989
494,6.459758831,6.459758831,6.459758831
495,7.029769822,7.029769822,7.029769822
496,7.976269788,7.976269788,7.976269788
497,10.38593787,10.38593787,10.38593787
498,7.511834474,7.511834474,7.511834474
499,8.03473978,8.03473978,8.03473978
500,7.192127614,7.192127614,7.192127614
501,8.939909944,8.939909944,8.939909944
502,9.00375863,9.00375863,9.00375863
503,12.76142072,12.76142072,12.76142072
504,10.73036269,10.73036269,10.73036269
505,8.083817741,8.083817741,8.083817741
506,13.67774268,13.67774268,13.67774268
507,17.78154017,17.78154017,17.78154017
508,13.66906231,13.66906231,13.66906231
509,13.67544409,13.67544409,13.67544409
510,22.6344338,22.6344338,22.6344338
511,18.1957282,18.1957282,18.1957282
512,20.38551875,20.38551875,20.38551875
513,22.87799026,22.87799026,22.87799026
514,15.85830673,15.85830673,15.85830673
515,9.649351277,9.649351277,9.649351277
516,12.27705731,12.27705731,12.27705731
517,35.55930266,35.55930266,35.55930266
518,36.60192037,36.60192037,36.60192037
519,19.429889,19.429889,19.429889
520,25.50333569,25.50333569,25.50333569
521,26.03435657,26.03435657,26.03435657
522,57.14558364,57.14558364,57.14558364
523,54.50170846,54.50170846,54.50170846
524,62.1562913,62.1562913,62.1562913
525,43.0678473,43.0678473,43.0678473
526,57.46414602,57.46414602,57.46414602
527,55.74033917,55.74033917,55.74033917
528,71.22608914,71.22608914,71.22608914
529,49.51843059,49.51843059,49.51843059
530,51.93516955,51.93516955,51.93516955
531,86.95898245,86.95898245,86.95898245
532,59.79876269,59.79876269,59.79876269
533,81.83184582,81.83184582,81.83184582
534,64.94155019,64.94155019,64.94155019
535,52.59514568,52.59514568,52.59514568
536,91.80987757,91.80987757,91.80987757
537,67.86904592,67.86904592,67.86904592
538,80.01963106,80.01963106,80.01963106
539,47.21154978,47.21154978,47.21154978
540,45.48433765,45.48433765,45.48433765
541,73.0058318,73.0058318,73.0058318
542,60.26416667,60.26416667,60.26416667
543,94.82875,94.82875,94.82875
544,110.4104167,110.4104167,110.4104167
545,77.71291667,77.71291667,77.71291667
546,36.08041667,36.08041667,36.08041667
547,22.02708333,22.02708333,22.02708333
548,52.42541667,52.42541667,52.42541667
549,98.58916667,98.58916667,98.58916667
550,61.31583333,61.31583333,61.31583333
551,36.69375,36.69375,36.69375
552,43.18583333,43.18583333,43.18583333
553,45.03375,45.03375,45.03375
554,51.74833333,51.74833333,51.74833333
555,40.26958333,40.26958333,40.26958333
556,82.5875,82.5875,82.5875
557,70.3125,70.3125,70.3125
558,124.4354167,124.4354167,124.4354167
559,145.385,145.385,145.385
560,143.6375,143.6375,143.6375
561,69.33,69.33,69.33
562,81.62333333,81.62333333,81.62333333
563,105.9466667,105.9466667,105.9466667
564,96.2225,96.2225,96.2225
565,125.8975,125.8975,125.8975
566,21.55666667,21.55666667,21.55666667
567,36.7725,36.7725,36.7725
568,29.20625,29.20625,29.20625
569,51.00458333,51.00458333,51.00458333
570,49.38625,49.38625,49.38625
571,44.22291667,44.22291667,44.22291667
572,95.72875,95.72875,95.72875
573,115.0958333,115.0958333,115.0958333
574,36.27875,36.27875,36.27875
575,26.55125,26.55125,26.55125
576,25.55416667,25.55416667,25.55416667
577,33.24208333,33.24208333,33.24208333
