day,nominal,S_2_RCP_8.5,S5_4.0
12029,-1.717541667,-1.717541667,-1.717541667
12030,-1.39975,-1.39975,-1.39975
12031,-1.151708333,-1.151708333,-1.151708333
12032,-0.933,-0.933,-0.933
12033,-0.892541667,-0.892541667,-0.892541667
12034,-0.869041667,-0.869041667,-0.869041667
12035,-0.839333333,-0.839333333,-0.839333333
12036,-1.063416667,-1.063416667,-1.063416667
12037,-1.305125,-1.305125,-1.305125
12038,-1.489708333,-1.489708333,-1.489708333
12039,-1.512375,-1.512375,-1.512375
12040,-1.661625,-1.661625,-1.661625
12041,-1.985625,-1.985625,-1.985625
12042,-2.181958333,-2.181958333,-2.181958333
12043,-2.253916667,-2.253916667,-2.253916667
12044,-2.337916667,-2.337916667,-2.337916667
12045,-2.27525,-2.27525,-2.27525
12046,-3.642541667,-3.642541667,-3.642541667
12047,-3.417041667,-3.417041667,-3.417041667
12048,-3.254583333,-3.254583333,-3.254583333
12049,-3.275041667,-3.275041667,-3.275041667
12050,-3.409958333,-3.409958333,-3.409958333
12051,-3.320916667,-3.320916667,-3.320916667
12052,-2.968458333,-2.968458333,-2.968458333
12053,-2.758083333,-2.758083333,-2.758083333
12054,-2.7705,-2.7705,-2.7705
12055,-2.812041667,-2.812041667,-2.812041667
12056,-2.755125,-2.755125,-2.755125
12057,-2.721916667,-2.721916667,-2.721916667
12058,-2.834208333,-2.834208333,-2.834208333
12059,-3.070791667,-3.070791667,-3.070791667
12060,-3.352166667,-3.352166667,-3.352166667
12061,-3.537708333,-3.537708333,-3.537708333
12062,-3.518708333,-3.518708333,-3.518708333
12063,-3.635041667,-3.635041667,-3.635041667
12064,-3.926708333,-3.926708333,-3.926708333
12065,-4.093083333,-4.093083333,-4.093083333
12066,-4.020791667,-4.020791667,-4.020791667
12067,-4.01375,-4.01375,-4.01375
12068,-4.169208333,-4.169208333,-4.169208333
12069,-4.370958333,-4.370958333,-4.370958333
12070,-4.611,-4.611,-4.611
12071,-4.779958333,-4.779958333,-4.779958333
12072,-4.958458333,-4.958458333,-4.958458333
12073,-5.11475,-5.11475,-5.11475
12074,-5.117583333,-5.117583333,-5.117583333
12075,-5.195916667,-5.195916667,-5.195916667
12076,-5.335875,-5.335875,-5.335875
12077,-5.502833333,-5.502833333,-5.502833333
12078,-5.653708333,-5.653708333,-5.653708333
12079,-5.842666667,-5.842666667,-5.842666667
12080,-5.964416667,-5.964416667,-5.964416667
12081,-5.927041667,-5.927041667,-5.927041667
12082,-5.907708333,-5.907708333,-5.907708333
12083,-5.900166667,-5.900166667,-5.900166667
12084,-5.737958333,-5.737958333,-5.737958333
12085,-5.340333333,-5.340333333,-5.340333333
12086,-5.040041667,-5.040041667,-5.040041667
12087,-4.849583333,-4.849583333,-4.849583333
12088,-4.720958333,-4.720958333,-4.720958333
12089,-4.590083333,-4.590083333,-4.590083333
12090,-4.433833333,-4.433833333,-4.433833333
12091,-4.298833333,-4.298833333,-4.298833333
12092,-4.286083333,-4.286083333,-4.286083333
12093,-4.435458333,-4.435458333,-4.435458333
12094,-4.52825,-4.52825,-4.52825
12095,-4.584833333,-4.584833333,-4.584833333
12096,-4.637208333,-4.637208333,-4.637208333
12097,-4.682458333,-4.682458333,-4.682458333
12098,-4.863541667,-4.863541667,-4.863541667
12099,-5.0855,-5.0855,-5.0855
12100,-5.303,-5.303,-5.303
12101,-5.579166667,-5.579166667,-5.579166667
12102,-5.799166667,-5.799166667,-5.799166667
12103,-5.955916667,-5.955916667,-5.955916667
12104,-6.084583333,-6.084583333,-6.084583333
12105,-6.193083333,-6.193083333,-6.193083333
12106,-6.217666667,-6.217666667,-6.217666667
12107,-6.16825,-6.16825,-6.16825
12108,-6.168625,-6.168625,-6.168625
12109,-6.180875,-6.180875,-6.180875
12110,-6.203875,-6.203875,-6.203875
12111,-6.287416667,-6.287416667,-6.287416667
12112,-6.419166667,-6.419166667,-6.419166667
12113,-6.617083333,-6.617083333,-6.617083333
12114,-6.730583333,-6.730583333,-6.730583333
12115,-6.820791667,-6.820791667,-6.820791667
12116,-6.917458333,-6.917458333,-6.917458333
12117,-6.990875,-6.990875,-6.990875
12118,-7.017333333,-7.017333333,-7.017333333
12119,-7.046333333,-7.046333333,-7.046333333
12120,-7.115958333,-7.115958333,-7.115958333
12121,-7.182166667,-7.182166667,-7.182166667
12122,-7.163083333,-7.163083333,-7.163083333
12123,-7.113,-7.113,-7.113
12124,-7.058958333,-7.058958333,-7.058958333
12125,-7.101625,-7.101625,-7.101625
12126,-7.179541667,-7.179541667,-7.179541667
12127,-7.094666667,-7.094666667,-7.094666667
12128,-6.95975,-6.95975,-6.95975
12129,-6.964125,-6.964125,-6.964125
12130,-7.164916667,-7.164916667,-7.164916667
12131,-7.3395,-7.3395,-7.3395
12132,-7.368375,-7.368375,-7.368375
12133,-7.180458333,-7.180458333,-7.180458333
12134,-7.082916667,-7.082916667,-7.082916667
12135,-7.095541667,-7.095541667,-7.095541667
12136,-7.142,-7.142,-7.142
12137,-7.228041667,-7.228041667,-7.228041667
12138,-7.327625,-7.327625,-7.327625
12139,-7.394666667,-7.394666667,-7.394666667
12140,-7.421708333,-7.421708333,-7.421708333
12141,-7.341625,-7.341625,-7.341625
12142,-7.2975,-7.2975,-7.2975
12143,-7.354458333,-7.354458333,-7.354458333
12144,-7.467708333,-7.467708333,-7.467708333
12145,-7.6045,-7.6045,-7.6045
12146,-7.737625,-7.737625,-7.737625
12147,-7.788625,-7.788625,-7.788625
12148,-7.762541667,-7.762541667,-7.762541667
12149,-7.670083333,-7.670083333,-7.670083333
12150,-7.598333333,-7.598333333,-7.598333333
12151,-7.515666667,-7.515666667,-7.515666667
12152,-7.478625,-7.478625,-7.478625
12153,-7.451208333,-7.451208333,-7.451208333
12154,-7.450083333,-7.450083333,-7.450083333
12155,-7.488916667,-7.488916667,-7.488916667
12156,-7.4315,-7.4315,-7.4315
12157,-7.250125,-7.250125,-7.250125
12158,-6.887875,-6.887875,-6.887875
12159,-6.499416667,-6.499416667,-6.499416667
12160,-6.142875,-6.142875,-6.142875
12161,-5.862083333,-5.862083333,-5.862083333
12162,-5.71425,-5.71425,-5.71425
12163,-5.681666667,-5.681666667,-5.681666667
12164,-5.687208333,-5.687208333,-5.687208333
12165,-5.684166667,-5.684166667,-5.684166667
12166,-5.627541667,-5.627541667,-5.627541667
12167,-5.564208333,-5.564208333,-5.564208333
12168,-5.544458333,-5.544458333,-5.544458333
12169,-5.50175,-5.50175,-5.50175
12170,-5.398041667,-5.398041667,-5.398041667
12171,-5.300083333,-5.300083333,-5.300083333
12172,-5.273166667,-5.273166667,-5.273166667
12173,-5.255166667,-5.255166667,-5.255166667
12174,-5.218541667,-5.218541667,-5.218541667
12175,-5.133041667,-5.133041667,-5.133041667
12176,-4.988833333,-4.988833333,-4.988833333
12177,-4.85375,-4.85375,-4.85375
12178,-4.748,-4.748,-4.748
12179,-4.657208333,-4.657208333,-4.657208333
12180,-4.576375,-4.576375,-4.576375
12181,-4.500125,-4.500125,-4.500125
12182,-4.422541667,-4.422541667,-4.422541667
12183,-4.353333333,-4.353333333,-4.353333333
12184,-4.239958333,-4.239958333,-4.239958333
12185,-4.108708333,-4.108708333,-4.108708333
12186,-3.957791667,-3.957791667,-3.957791667
12187,-3.795041667,-3.795041667,-3.795041667
12188,-3.642708333,-3.642708333,-3.642708333
12189,-3.5415,-3.5415,-3.5415
12190,-3.443,-3.443,-3.443
12191,-3.430791667,-3.430791667,-3.430791667
12192,-3.469125,-3.469125,-3.469125
12193,-3.476,-3.476,-3.476
12194,-3.375583333,-3.375583333,-3.375583333
12195,-2.993541667,-2.993541667,-2.993541667
12196,-1.338458333,-1.338458333,-1.338458333
12197,-0.663625,-0.663625,-0.663625
12198,-0.35825,-0.35825,-0.35825
12199,-0.207833333,-0.207833333,-0.207833333
12200,-0.141458333,1.244541667,1.244541667
12201,-0.130916667,1.255083333,1.255083333
12202,-0.122125,1.263875,1.263875
12203,-0.115666667,1.270333333,1.270333333
12204,-0.115708333,1.270291667,1.270291667
12205,-0.109791667,1.276208333,1.276208333
12206,-0.102375,1.318916667,1.318916667
12207,-0.101833333,2.943083333,2.943083333
12208,-0.093166667,1.546,1.546
12209,-0.08675,1.171416667,1.171416667
12210,-0.086875,1.609333333,1.609333333
12211,-0.102208333,1.051416667,1.051416667
12212,-0.118208333,1.046416667,1.046416667
12213,-0.138625,4.961833333,4.961833333
12214,-0.129166667,5.676416667,5.676416667
12215,-0.103875,6.7035,6.7035
